Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp
47.23,33.0,39699.13,210.53,Optimized static archive,New Teresa,Male,Lao People's Democratic Republic,2016-06-03 21:43:21
48.22,29.0,60575.99,166.86,Quality-focused hybrid frame,Johnstonmouth,Female,Burundi,2016-04-07 03:56:16
65.65,33.0,55764.43,178.75,Optimized coherent Internet solution,New Teresa,Male,Senegal,2016-02-26 23:44:44
47.23,33.0,63296.87,218.17,Focused multimedia implementation,West Lacey,Male,Senegal,2016-02-26 23:44:44
64.24,45.0,15598.29,229.88,Right-sized value-added initiative,Dianashire,Male,Saint Helena,2016-06-01 09:27:34
55.39,24.0,68962.32,195.69,Profit-focused secondary portal,Perezland,Female,Bahamas,2016-06-24 21:09:58
78.76,32.0,54806.18,195.07,Down-sized background groupware,New Denisebury,Female,Lebanon,2016-04-28 22:54:37
72.6,26.0,28357.27,201.15,Decentralized client-driven data-warehouse,Haleberg,Female,Benin,2016-01-19 12:18:13
82.52,32.0,43299.63,229.88,Optimized coherent Internet solution,New Denisebury,Male,Grenada,2016-05-28 12:20:15
37.0,31.0,62792.43,238.1,Extended local methodology,Fosterside,Male,Pakistan,2016-03-09 02:07:17
60.7,33.0,22205.74,210.53,Polarized tangible collaboration,Port Aliciabury,Female,Senegal,2016-03-07 22:32:15
56.93,46.0,46500.11,124.85,Enhanced systematic adapter,Port Eugeneport,Female,Barbados,2016-03-18 17:35:40
37.65,36.0,65883.39,136.64,Phased full-range hardware,North Jenniferburgh,Female,Saint Helena,2016-02-06 23:08:57
76.44,28.0,45716.48,196.83,Compatible systemic function,Hollandberg,Female,Poland,2016-02-03 23:47:56
72.6,26.0,33987.27,182.65,Business-focused responsive website,Lake Jonathanview,Male,Cuba,2016-04-18 21:07:28
66.4,50.0,50960.08,175.37,Polarized 5thgeneration matrix,Hamiltonfort,Female,Bahamas,2016-05-15 01:03:06
66.4,38.0,47861.93,120.63,Up-sized asymmetric firmware,North Ricardotown,Female,Cyprus,2016-06-18 17:56:32
50.08,49.0,59448.44,218.61,Configurable interactive contingency,New Sheila,Male,Svalbard & Jan Mayen Islands,2016-04-10 00:13:47
70.09,31.0,66269.49,228.78,User-centric discrete success,East Ericport,Female,Belgium,2016-04-16 08:36:08
75.84,31.0,70495.64,228.78,Universal incremental array,New Darlene,Male,Finland,2016-05-30 21:22:22
75.84,44.0,75535.14,258.26,Optional tangible productivity,Port Joshuafort,Male,Afghanistan,2016-06-17 09:58:46
58.18,44.0,52656.13,141.89,Secured clear-thinking middleware,West Shaun,Male,Netherlands Antilles,2016-06-17 09:58:46
82.79,32.0,31281.01,229.88,Down-sized background groupware,Joanntown,Female,Afghanistan,2016-04-17 15:46:03
44.16,35.0,39699.13,148.93,Optimized static archive,Phelpschester,Male,Syrian Arab Republic,2016-03-18 13:22:35
81.95,36.0,65883.39,136.64,Centralized asynchronous portal,Carterton,Female,Saint Helena,2016-07-11 13:23:37
60.7,28.0,45716.48,196.83,Synergized well-modulated Graphical User Interface,East Heatherside,Female,Guam,2016-02-03 23:47:56
44.11,51.0,28357.27,174.55,Configurable 24/7 hub,Evansville,Male,Faroe Islands,2016-02-26 04:57:14
51.95,33.0,70203.74,210.53,Polarized tangible collaboration,Sylviaview,Female,Senegal,2016-06-19 23:21:38
79.97,44.0,27073.27,182.2,Assimilated next generation firmware,East Jessefort,Male,Mexico,2016-05-29 21:17:10
40.17,26.0,53852.85,182.65,Centralized client-driven workforce,Lake Jonathanview,Female,Belgium,2016-03-10 23:26:54
69.57,41.0,67744.56,151.18,Managed well-modulated collaboration,Evansville,Female,Senegal,2016-05-21 01:36:16
77.63,41.0,53575.48,236.5,Business-focused transitional solution,Mezaton,Male,Faroe Islands,2016-03-07 20:02:51
44.11,25.0,57877.15,214.42,Quality-focused hybrid frame,North Derekville,Female,New Zealand,2016-01-05 20:58:42
74.87,33.0,70203.74,109.22,Polarized tangible collaboration,West Guybury,Female,Senegal,2016-01-08 08:08:47
56.2,33.0,47357.39,210.53,Polarized tangible collaboration,West Shannon,Female,Senegal,2016-03-07 22:32:15
44.11,34.0,58909.36,175.37,Customer-focused multi-tasking Internet solution,Walshhaven,Female,China,2016-03-18 02:39:26
67.76,42.0,70783.94,160.49,Public-key disintermediate emulation,Port Beth,Male,Faroe Islands,2016-04-21 12:34:28
75.92,38.0,63336.85,204.22,Assimilated homogeneous service-desk,North Garyhaven,Male,Cameroon,2016-01-05 17:56:52
42.05,29.0,63450.96,166.86,Quality-focused hybrid frame,Johnstonmouth,Female,Hong Kong,2016-04-07 03:56:16
79.57,46.0,71718.51,214.23,Managed attitude-oriented Internet solution,Danielview,Male,Barbados,2016-06-16 02:01:24
38.65,45.0,46179.97,202.34,Programmable empowering orchestration,Ryanhaven,Male,Cape Verde,2016-06-16 02:01:24
51.95,33.0,56435.6,210.53,Polarized tangible collaboration,Richardshire,Female,Portugal,2016-06-19 23:21:38
41.73,37.0,57587.0,141.89,Enterprise-wide tangible model,Port Douglasborough,Male,Marshall Islands,2016-02-07 07:41:06
55.39,27.0,36037.33,203.84,Self-enabling multimedia system engine,Kennedyfurt,Male,Kyrgyz Republic,2016-02-04 02:13:52
70.04,29.0,60575.99,247.05,Persevering reciprocal firmware,East Heidi,Female,Maldives,2016-01-06 21:43:22
65.53,38.0,50147.72,151.95,Public-key asynchronous matrix,West Joseph,Female,Ghana,2016-03-03 03:51:27
80.99,58.0,67511.86,183.85,Front-line bandwidth-monitored capacity,Port Jennifer,Female,Australia,2016-02-07 07:41:06
37.0,40.0,66784.81,150.99,Managed impactful definition,Bakerhaven,Male,Bolivia,2016-06-09 21:43:05
75.55,36.0,47929.83,136.64,Expanded radical software,Garciaside,Male,Saint Helena,2016-04-28 22:54:37
51.95,40.0,46473.14,222.08,Seamless intangible secured line,Bakerhaven,Male,Mongolia,2016-01-02 14:36:03
89.66,34.0,77220.42,122.31,Monitored dynamic instruction set,Jeremyshire,Male,Jersey,2016-03-24 06:36:52
51.95,52.0,53575.48,172.83,Proactive interactive service-desk,East Heatherside,Female,Christmas Island,2016-06-17 09:58:46
35.0,40.0,57179.91,201.29,Managed impactful definition,East Donna,Male,Mongolia,2016-04-24 13:42:15
60.83,41.0,25739.09,109.34,Synergistic reciprocal attitude,Port Douglasborough,Male,Faroe Islands,2016-03-07 20:02:51
80.29,34.0,46737.34,122.31,Face-to-face reciprocal methodology,Jeremyshire,Male,Kuwait,2016-02-14 04:14:13
53.54,39.0,47929.83,222.11,Future-proofed coherent budgetary management,Port James,Female,Portugal,2016-03-18 17:35:40
41.73,25.0,50086.17,176.7,De-engineered tertiary secured line,Wilcoxport,Male,Ukraine,2016-05-30 21:22:22
76.44,28.0,45716.48,196.83,Synchronized human-resource moderator,West Joseph,Male,Montserrat,2016-02-03 23:47:56
72.6,34.0,50038.65,211.65,Customer-focused multi-tasking Internet solution,Lake Jasonchester,Female,Cyprus,2016-03-23 08:52:31
50.48,50.0,48826.14,149.67,Pre-emptive content-based focus group,Austinborough,Male,Niger,2016-01-04 21:48:38
77.5,44.0,51510.18,140.39,Universal incremental array,Rhondaborough,Female,Afghanistan,2016-04-25 07:30:21
76.21,31.0,38427.66,223.28,Business-focused value-added definition,West Jeremyside,Female,Hong Kong,2016-05-30 07:36:31
56.91,29.0,65883.39,238.63,Enterprise-wide foreground emulation,Kristinfurt,Male,Cambodia,2016-03-15 11:25:48
35.76,31.0,43881.73,228.78,Multi-channeled asymmetric installation,Odomville,Female,Cambodia,2016-04-06 11:24:21
80.23,27.0,46179.97,191.14,Pre-emptive client-server installation,Port Kathleenfort,Male,Burkina Faso,2016-06-20 02:25:12
48.22,43.0,46239.14,210.87,Sharable multimedia conglomeration,Lake Stephenborough,Female,Barbados,2016-07-03 04:11:40
37.87,30.0,55499.69,162.05,Organic next generation matrix,Dayton,Male,Holy See (Vatican City State),2016-02-11 17:02:07
81.37,50.0,65791.17,149.67,Assimilated fault-tolerant hub,Bradshawborough,Male,Liechtenstein,2016-03-28 19:48:37
53.38,35.0,39699.13,148.93,Balanced 4thgeneration success,Phelpschester,Male,Niger,2016-03-18 13:22:35
37.0,31.0,70495.64,212.67,Extended local methodology,Lake Adrian,Male,France,2016-05-27 05:23:26
65.65,30.0,51013.37,198.45,Object-based reciprocal knowledgebase,West David,Male,South Africa,2016-07-18 04:53:22
46.28,41.0,66359.32,197.66,Polarized analyzing intranet,Erikville,Female,Faroe Islands,2016-06-16 18:04:51
70.92,35.0,41768.13,267.01,Managed disintermediate matrices,North Kennethside,Male,Gibraltar,2016-06-28 09:19:06
44.11,41.0,58920.44,109.34,Synergistic reciprocal attitude,Loriville,Female,Faroe Islands,2016-01-30 04:38:41
55.39,39.0,69784.85,122.45,Inverse stable synergy,Grahamberg,Female,Micronesia,2016-05-22 15:17:25
78.79,36.0,79332.33,136.64,Expanded radical software,Lake Patrick,Male,Saint Helena,2016-04-28 22:54:37
38.65,45.0,39939.39,196.77,Programmable uniform website,Dianashire,Male,Spain,2016-04-04 20:01:12
58.6,38.0,28186.65,108.18,Centralized content-based focus group,Morganfort,Female,Micronesia,2016-06-13 06:11:33
66.79,50.0,50671.6,175.37,Enterprise-wide foreground emulation,Danielview,Male,Barbados,2016-06-16 02:01:24
55.39,27.0,48761.14,133.2,Grass-roots solution-oriented conglomeration,Port Sarahshire,Male,Malta,2016-04-17 06:58:18
55.6,29.0,72209.99,238.63,Reduced holistic help-desk,West Shannon,Male,Kuwait,2016-01-22 12:58:14
81.45,46.0,62204.93,132.38,Centralized client-driven workforce,East Breannafurt,Male,Barbados,2016-06-16 02:01:24
46.28,41.0,43450.11,109.34,Focused high-level conglomeration,Mezaton,Male,Faroe Islands,2016-03-31 13:54:51
81.56,26.0,72683.35,182.65,Monitored context-sensitive initiative,Lisamouth,Male,Cuba,2016-04-18 21:07:28
76.02,46.0,46500.11,123.24,Polarized 5thgeneration matrix,East Breannafurt,Female,Barbados,2016-01-03 04:39:47
76.44,28.0,45716.48,196.83,Compatible systemic function,Shelbyport,Female,Poland,2016-02-03 23:47:56
39.85,58.0,67511.86,132.27,Front-line bandwidth-monitored capacity,Melissachester,Female,Australia,2016-02-07 07:41:06
47.23,30.0,55336.18,198.45,Total 5thgeneration standardization,Yangside,Male,United States Minor Outlying Islands,2016-02-12 05:20:19
81.37,37.0,67511.86,183.85,Enterprise-wide tangible model,Lake Jonathanview,Male,Marshall Islands,2016-02-07 07:41:06
59.61,50.0,76560.59,198.45,Future-proofed coherent budgetary management,Hayesmouth,Female,Bahamas,2016-03-18 17:35:40
48.01,50.0,65791.17,108.17,Enterprise-wide foreground emulation,North Stephanieberg,Female,Micronesia,2016-01-30 04:38:41
47.23,30.0,57594.7,162.05,Grass-roots transitional flexibility,South Davidhaven,Male,Tokelau,2016-02-11 17:02:07
39.47,31.0,68614.98,228.78,Reactive tangible contingency,East Ericport,Female,Colombia,2016-04-06 11:24:21
79.97,34.0,70547.16,192.93,Customer-focused multi-tasking Internet solution,Edwardsport,Female,China,2016-05-05 09:28:36
47.23,33.0,63296.87,210.53,Focused multimedia implementation,New Teresa,Male,France,2016-05-11 22:02:17
66.4,38.0,62792.43,154.75,Synergized clear-thinking protocol,Ramirezton,Female,Cyprus,2016-05-09 07:13:27
44.16,30.0,39699.13,186.98,Focused high-level frame,Blevinstown,Male,Uganda,2016-06-03 21:43:21
39.85,41.0,52520.75,109.34,Focused high-level conglomeration,Erikville,Male,Faroe Islands,2016-06-16 18:04:51
56.39,35.0,39699.13,148.93,Managed disintermediate matrices,Lake Beckyburgh,Male,Gibraltar,2016-06-28 09:19:06
81.05,42.0,51600.47,176.7,Enhanced optimizing website,Benjaminchester,Male,Belgium,2016-05-26 15:40:12
37.87,37.0,56394.82,238.63,Polarized 6thgeneration info-mediaries,West Shaun,Male,Uganda,2016-02-14 04:14:13
78.76,30.0,70547.16,136.4,Expanded clear-thinking core,New Tyler,Female,Bolivia,2016-02-04 03:10:17
75.55,36.0,57846.68,136.64,Expanded radical software,Garciaside,Female,Eritrea,2016-02-04 08:53:37
56.14,22.0,55424.24,200.28,Compatible intermediate concept,North Randy,Female,Bosnia and Herzegovina,2016-02-03 10:40:27
75.84,52.0,27073.27,176.7,Exclusive disintermediate Internet solution,West Rhondamouth,Male,Tunisia,2016-03-21 11:02:49
75.55,36.0,65883.39,202.25,Advanced heuristic firmware,North Brandon,Male,Saint Helena,2016-07-11 13:23:37
60.7,35.0,23942.61,127.2,Seamless cohesive conglomeration,Curtisport,Female,Micronesia,2016-04-24 01:48:21
46.89,31.0,69874.18,228.78,Synergized well-modulated Graphical User Interface,East Debraborough,Female,Hong Kong,2016-03-19 14:23:45
73.46,43.0,79332.33,113.12,Enterprise-wide incremental Internet solution,Sherrishire,Male,Cameroon,2016-07-15 15:43:36
59.64,39.0,59422.47,133.2,Multi-tiered mobile encoding,East Donna,Male,Australia,2016-04-17 06:58:18
37.65,36.0,57846.68,136.64,Expanded radical software,Garciaside,Female,Svalbard & Jan Mayen Islands,2016-03-08 05:48:20
81.37,25.0,43450.11,241.36,Monitored intermediate circuit,Erikville,Male,Marshall Islands,2016-03-23 21:06:51
42.44,26.0,62060.11,182.65,Networked even-keeled workforce,Port Calvintown,Female,Burundi,2016-03-14 06:46:14
78.41,46.0,71718.51,177.55,Self-enabling zero administration neural-net,East Breannafurt,Male,Barbados,2016-06-16 02:01:24
65.65,27.0,64008.55,239.22,Business-focused value-added definition,South Ronald,Female,Bahamas,2016-01-19 12:18:13
52.17,29.0,60575.99,166.86,Quality-focused hybrid frame,Johnstonmouth,Female,Hong Kong,2016-04-07 03:56:16
38.96,49.0,59448.44,218.61,Configurable interactive contingency,New Sheila,Male,Qatar,2016-07-11 13:23:37
78.76,36.0,57846.68,136.64,Expanded radical software,Garciaside,Female,Svalbard & Jan Mayen Islands,2016-07-11 13:23:37
58.6,50.0,48826.14,149.67,Enterprise-wide foreground emulation,Danielview,Male,Barbados,2016-01-04 21:48:38
37.65,36.0,65883.39,136.64,Phased full-range hardware,North Aaronburgh,Female,Saint Helena,2016-05-28 12:20:15
56.56,51.0,66359.32,185.85,Managed well-modulated collaboration,Lake Jasonchester,Female,Faroe Islands,2016-06-29 10:50:45
46.28,28.0,45716.48,196.83,Automated multi-state toolset,Thomasview,Female,Svalbard & Jan Mayen Islands,2016-02-03 23:47:56
77.88,36.0,79332.33,113.8,Expanded radical software,Garciaside,Female,Svalbard & Jan Mayen Islands,2016-03-08 05:48:20
59.22,25.0,67682.32,119.3,Quality-focused hybrid frame,Rivasland,Female,New Zealand,2016-05-03 01:09:01
66.4,50.0,60968.62,175.37,Polarized 5thgeneration matrix,Morganport,Female,Barbados,2016-01-04 21:48:38
80.38,33.0,39809.69,186.98,Focused multimedia implementation,New Teresa,Male,France,2016-02-26 23:44:44
59.21,35.0,39699.13,148.93,Managed disintermediate matrices,North Kennethside,Male,Gibraltar,2016-06-28 09:19:06
76.44,28.0,45716.48,196.83,Automated multi-state toolset,Lake Adrian,Female,Poland,2016-02-03 23:47:56
82.52,32.0,43299.63,219.98,Proactive client-server productivity,New Denisebury,Male,Turkmenistan,2016-04-18 00:49:33
76.44,28.0,62792.43,183.85,Compatible systemic function,East Paul,Male,Liberia,2016-02-03 23:47:56
46.28,26.0,33987.27,238.1,Expanded clear-thinking core,East Heidi,Female,Anguilla,2016-01-11 12:46:31
60.7,31.0,66269.49,223.28,Integrated grid-enabled budgetary management,Davieshaven,Female,Hong Kong,2016-04-07 03:56:16
71.4,35.0,70547.16,148.61,Reactive impactful challenge,Phillipsbury,Female,Micronesia,2016-04-24 01:48:21
68.68,33.0,70203.74,210.53,Polarized tangible collaboration,West Guybury,Female,Senegal,2016-06-19 23:21:38
66.14,30.0,70547.16,136.4,Expanded clear-thinking core,New Tyler,Female,Bolivia,2016-02-04 03:10:17
70.09,44.0,30227.98,200.28,Cross-platform logistical pricing structure,Rhondaborough,Female,Singapore,2016-06-20 08:22:09
66.03,38.0,63336.85,204.22,Advanced web-enabled standardization,North Garyhaven,Male,Cameroon,2016-04-18 03:41:56
51.95,33.0,70203.74,207.96,Polarized tangible collaboration,Sylviaview,Female,Senegal,2016-02-20 10:52:51
80.99,26.0,72683.35,182.65,Monitored context-sensitive initiative,Lake Jonathanview,Male,Zimbabwe,2016-04-18 21:07:28
78.76,35.0,23942.61,267.01,Exclusive multi-state Internet solution,Murphymouth,Female,Maldives,2016-04-26 21:45:50
44.11,25.0,71455.62,119.3,Managed well-modulated collaboration,Rivasland,Female,New Zealand,2016-01-05 20:58:42
76.2,24.0,60514.05,228.81,Fundamental modular algorithm,East Jessefort,Female,Austria,2016-06-24 21:09:58
80.38,36.0,69874.18,194.56,Expanded radical software,South Corey,Male,Albania,2016-01-14 14:00:09
53.14,49.0,47929.83,198.45,Configurable interactive contingency,Port Julie,Male,Portugal,2016-07-18 04:53:22
77.44,31.0,43881.73,218.8,Business-focused value-added definition,Grahamberg,Female,Cambodia,2016-04-06 11:24:21
76.44,28.0,45716.48,196.83,Adaptive asynchronous attitude,Adamside,Female,Mozambique,2016-02-03 23:47:56
76.44,28.0,45716.48,196.83,Operative scalable emulation,North Debra,Male,Japan,2016-04-26 20:57:48
76.44,28.0,45716.48,196.83,Compatible systemic function,East Paul,Male,Fiji,2016-02-03 23:47:56
55.39,39.0,67938.77,159.05,Synergized multimedia emulation,Kennedyfurt,Male,Cayman Islands,2016-04-17 06:58:18
54.37,43.0,52802.0,196.71,Polarized 6thgeneration info-mediaries,Lake Craigview,Male,Turkey,2016-02-27 12:34:19
48.22,35.0,39699.13,267.01,Managed disintermediate matrices,North Kennethside,Male,Gibraltar,2016-05-20 00:00:48
41.73,28.0,45716.48,196.83,Compatible systemic function,East Paul,Male,Fiji,2016-02-03 23:47:56
84.79,55.0,57877.15,151.93,Extended interactive model,Tinachester,Female,New Zealand,2016-07-17 01:13:56
44.11,34.0,54324.73,221.53,Vision-oriented methodical support,Walshhaven,Male,Bosnia and Herzegovina,2016-02-16 07:37:28
39.47,28.0,45716.48,196.83,Inverse local hub,Shelbyport,Female,Poland,2016-02-03 23:47:56
55.39,39.0,40926.93,222.08,Proactive encompassing paradigm,Port James,Female,Australia,2016-06-24 21:09:58
77.88,49.0,65576.05,243.37,Centralized neutral neural-net,Birdshire,Female,Qatar,2016-04-10 00:13:47
78.01,28.0,40478.83,212.67,Universal incremental array,East Heatherside,Male,Martinique,2016-06-07 01:29:06
59.21,51.0,67744.56,185.85,Managed well-modulated collaboration,South Jessica,Male,United States Virgin Islands,2016-03-15 20:19:20
49.99,25.0,71455.62,119.3,Quality-focused hybrid frame,Rivasland,Female,New Zealand,2016-05-03 01:09:01
60.23,33.0,25603.93,190.17,Operative actuating installation,New Teresa,Male,France,2016-04-06 05:55:43
66.18,46.0,59422.47,238.1,Ameliorated user-facing help-desk,Lake Danielle,Male,Timor-Leste,2016-06-07 01:29:06
76.44,28.0,45716.48,196.83,Synchronized human-resource moderator,North Destiny,Male,Italy,2016-04-10 14:48:35
47.23,44.0,27073.27,258.26,Pre-emptive value-added workforce,East Jessefort,Male,Liberia,2016-03-09 00:41:46
76.2,35.0,59550.05,267.01,Reactive impactful challenge,North Raymond,Female,Liberia,2016-04-24 01:48:21
79.82,41.0,66359.32,123.28,Managed well-modulated collaboration,Mezaton,Female,Faroe Islands,2016-01-21 22:51:34
66.4,46.0,57737.51,154.74,Ergonomic methodical encoding,Bradshawborough,Male,Cayman Islands,2016-04-21 12:34:28
76.2,35.0,59550.05,127.2,User-centric composite contingency,Lake Dustin,Female,Micronesia,2016-04-24 01:48:21
87.16,57.0,43450.11,142.21,Front-line multi-state hub,New Teresa,Male,Ukraine,2016-05-15 18:44:50
48.86,22.0,58920.44,217.37,Business-focused value-added definition,Hartport,Female,Eritrea,2016-07-13 16:12:24
60.7,31.0,43881.73,246.29,Sharable encompassing database,Grahamberg,Female,Colombia,2016-04-06 11:24:21
73.89,39.0,59422.47,133.2,Virtual scalable secured line,North April,Female,Wallis and Futuna,2016-06-09 21:43:05
48.22,27.0,64008.55,239.22,Team-oriented transitional methodology,East Eric,Female,Micronesia,2016-07-18 04:53:22
81.38,30.0,55336.18,168.0,Organic next generation matrix,Yangside,Male,Cameroon,2016-06-03 21:43:21
42.44,22.0,57877.15,217.37,Right-sized transitional parallelism,Hartport,Female,Eritrea,2016-01-05 17:56:52
77.88,49.0,60248.97,198.45,Centralized neutral neural-net,Port James,Female,Holy See (Vatican City State),2016-03-18 17:35:40
70.2,44.0,37345.34,200.28,Automated web-enabled migration,East Heatherside,Female,Ethiopia,2016-06-17 09:58:46
75.55,45.0,23975.35,138.71,Public-key asynchronous matrix,New Tinamouth,Female,Czech Republic,2016-01-26 03:56:18
67.69,33.0,55605.92,210.53,Polarized tangible collaboration,Sylviaview,Female,Senegal,2016-06-19 23:21:38
88.89,46.0,57737.51,131.68,Managed client-server access,East Breannafurt,Male,Barbados,2016-06-16 02:01:24
68.18,39.0,60550.66,138.87,De-engineered tertiary secured line,North April,Female,Anguilla,2016-06-26 04:22:26
37.65,32.0,59550.05,148.61,Down-sized background groupware,New Denisebury,Female,Afghanistan,2016-03-08 05:48:20
59.22,31.0,43881.73,223.28,Pre-emptive systematic budgetary management,East Debraborough,Female,Cambodia,2016-04-06 11:24:21
81.37,55.0,40345.49,200.28,Persistent even-keeled application,Hayesmouth,Female,Bulgaria,2016-04-29 20:40:21
53.38,33.0,39699.13,210.53,Optimized coherent Internet solution,New Teresa,Male,Syrian Arab Republic,2016-04-21 20:29:35
70.04,26.0,74623.27,172.81,Expanded clear-thinking core,Kristinfurt,Female,Cyprus,2016-03-10 23:26:54
60.7,35.0,41768.13,148.61,Seamless real-time array,North Kennethside,Female,Jersey,2016-04-24 01:48:21
54.37,28.0,47510.42,172.81,Inverse local hub,Lake Adrian,Female,Poland,2016-02-03 23:47:56
42.44,58.0,67301.39,132.27,Extended interactive model,Rhondaborough,Female,Australia,2016-05-10 04:28:55
66.4,38.0,36497.22,154.75,Enterprise-wide bi-directional secured line,West Justin,Female,Liberia,2016-04-18 03:41:56
44.11,46.0,51049.47,118.45,Self-enabling zero administration neural-net,East Breannafurt,Male,Kuwait,2016-01-05 16:26:44
70.09,39.0,46239.14,159.69,Streamlined next generation implementation,East Jessefort,Female,Papua New Guinea,2016-06-24 21:09:58
50.63,45.0,60309.58,202.34,Ameliorated discrete extranet,Dianashire,Male,Honduras,2016-01-03 04:39:47
39.47,31.0,66269.49,223.28,Integrated grid-enabled budgetary management,East Debraborough,Female,Cambodia,2016-04-06 11:24:21
66.4,38.0,53852.85,120.63,Enterprise-wide bi-directional secured line,North Ricardotown,Female,Cyprus,2016-06-18 17:56:32
66.17,24.0,55336.18,178.75,Optimized coherent Internet solution,New Steve,Male,Vanuatu,2016-04-29 18:53:43
73.38,24.0,51013.37,132.71,Advanced heuristic firmware,Josephstad,Male,Saint Helena,2016-07-11 13:23:37
43.63,38.0,73207.15,154.75,Synergized clear-thinking protocol,North Ricardotown,Female,Cyprus,2016-05-09 07:13:27
66.4,50.0,52520.75,149.67,Pre-emptive content-based focus group,Bradshawborough,Male,Niger,2016-01-04 21:48:38
75.55,36.0,69874.18,194.56,Cloned optimal leverage,Garciaside,Male,Netherlands Antilles,2016-04-28 22:54:37
78.76,30.0,70547.16,188.27,Integrated motivating neural-net,New Tyler,Female,Bolivia,2016-02-04 03:10:17
91.43,41.0,50960.08,127.2,Vision-oriented contextually-based extranet,East Breannafurt,Female,Austria,2016-01-05 16:34:31
70.09,52.0,27073.27,176.7,Visionary multi-tasking alliance,Sylviaview,Male,San Marino,2016-03-21 11:02:49
79.57,53.0,70783.94,132.38,Focused systemic benchmark,Bradshawborough,Male,Barbados,2016-02-11 13:26:22
56.2,40.0,48206.04,222.08,Focused multimedia implementation,West Jessicahaven,Male,Russian Federation,2016-05-17 18:06:46
56.56,31.0,58820.16,228.78,Synergized well-modulated Graphical User Interface,East Ericport,Female,Svalbard & Jan Mayen Islands,2016-04-06 11:24:21
66.79,31.0,66027.31,238.1,Ameliorated tangible hierarchy,New Sean,Male,France,2016-05-27 05:23:26
44.11,38.0,63336.85,204.22,Profound optimizing utilization,North Garyhaven,Male,Cameroon,2016-01-30 04:38:41
76.2,29.0,60575.99,228.78,Quality-focused hybrid frame,Johnstonmouth,Female,Hong Kong,2016-04-07 03:56:16
59.61,39.0,66784.81,133.2,Multi-tiered mobile encoding,West David,Male,South Africa,2016-02-05 19:06:01
74.71,30.0,70547.16,136.4,Expanded clear-thinking core,New Tyler,Female,Bolivia,2016-02-04 03:10:17
89.66,36.0,69874.18,136.64,Optimized intermediate help-desk,Garciaside,Male,Svalbard & Jan Mayen Islands,2016-07-11 13:23:37
65.65,33.0,53336.76,178.75,Optimized coherent Internet solution,New Teresa,Male,Switzerland,2016-02-26 23:44:44
60.23,24.0,64008.55,195.69,Proactive local focus group,Lake James,Female,Bahamas,2016-01-08 08:08:47
37.65,45.0,59550.05,199.29,Public-key asynchronous matrix,New Tinamouth,Female,Ethiopia,2016-07-23 05:21:39
55.6,23.0,72209.99,130.4,Enterprise-wide foreground emulation,West Shaun,Male,Kuwait,2016-06-30 00:40:31
